Regime       |    H |       Accuracy |       Recovery |     Clustering |       Sim Corr
---------------------------------------------------------------------------------------
baseline     |    4 |    0.963±0.009 |       6.4± 3.6 |    0.612±0.120 |    0.561±0.197
baseline     |    5 |    0.934±0.112 |       7.0± 5.0 |    0.679±0.174 |    0.499±0.251
baseline     |    6 |    0.989±0.012 |      11.4± 4.9 |    0.729±0.091 |    0.443±0.134
baseline     |    8 |    0.998±0.003 |      14.8± 3.4 |    0.756±0.068 |    0.516±0.165
baseline     |   10 |    1.000±0.000 |      17.0± 0.0 |    0.741±0.076 |    0.510±0.112
baseline     |   12 |    1.000±0.000 |      17.0± 0.0 |    0.779±0.084 |    0.417±0.169
baseline     |   16 |    1.000±0.000 |      17.0± 0.0 |    0.758±0.049 |    0.518±0.087
baseline     |   24 |    1.000±0.000 |      17.0± 0.0 |    0.755±0.052 |    0.491±0.046
baseline     |   32 |    1.000±0.000 |      17.0± 0.0 |    0.773±0.041 |    0.448±0.068
baseline     |   48 |    1.000±0.000 |      17.0± 0.0 |    0.804±0.029 |    0.476±0.080
baseline     |   64 |    1.000±0.000 |      17.0± 0.0 |    0.811±0.023 |    0.471±0.072
baseline     |   96 |    1.000±0.000 |      17.0± 0.0 |    0.820±0.016 |    0.441±0.064
baseline     |  128 |    1.000±0.000 |      17.0± 0.0 |    0.849±0.011 |    0.403±0.061

ext_only     |    4 |    0.939±0.040 |       4.4± 3.7 |    0.674±0.203 |    0.530±0.153
ext_only     |    5 |    0.930±0.110 |       6.4± 4.0 |    0.656±0.160 |    0.567±0.282
ext_only     |    6 |    0.981±0.016 |      10.4± 5.2 |    0.722±0.094 |    0.549±0.154
ext_only     |    8 |    0.995±0.005 |      14.0± 3.7 |    0.733±0.077 |    0.656±0.108
ext_only     |   10 |    1.000±0.001 |      16.7± 0.9 |    0.742±0.063 |    0.607±0.097
ext_only     |   12 |    1.000±0.000 |      17.0± 0.0 |    0.774±0.066 |    0.516±0.154
ext_only     |   16 |    1.000±0.000 |      17.0± 0.0 |    0.761±0.061 |    0.580±0.053
ext_only     |   24 |    1.000±0.000 |      17.0± 0.0 |    0.753±0.051 |    0.532±0.036
ext_only     |   32 |    1.000±0.000 |      17.0± 0.0 |    0.777±0.044 |    0.475±0.073
ext_only     |   48 |    1.000±0.000 |      17.0± 0.0 |    0.802±0.028 |    0.483±0.077
ext_only     |   64 |    1.000±0.000 |      17.0± 0.0 |    0.812±0.023 |    0.472±0.072
ext_only     |   96 |    1.000±0.000 |      17.0± 0.0 |    0.820±0.016 |    0.441±0.064
ext_only     |  128 |    1.000±0.000 |      17.0± 0.0 |    0.849±0.011 |    0.403±0.061

role_only    |    4 |    0.714±0.379 |       4.5± 3.8 |    0.631±0.071 |    0.914±0.045
role_only    |    5 |    0.886±0.251 |       5.3± 6.1 |    0.630±0.088 |    0.916±0.025
role_only    |    6 |    0.983±0.012 |       9.1± 5.2 |    0.703±0.051 |    0.926±0.016
role_only    |    8 |    0.998±0.004 |      14.8± 3.4 |    0.714±0.048 |    0.937±0.015
role_only    |   10 |    1.000±0.001 |      17.0± 0.0 |    0.703±0.044 |    0.951±0.013
role_only    |   12 |    1.000±0.000 |      17.0± 0.0 |    0.756±0.049 |    0.961±0.013
role_only    |   16 |    1.000±0.000 |      17.0± 0.0 |    0.728±0.036 |    0.981±0.004
role_only    |   24 |    1.000±0.000 |      17.0± 0.0 |    0.756±0.016 |    0.993±0.002
role_only    |   32 |    1.000±0.000 |      17.0± 0.0 |    0.780±0.018 |    0.995±0.001
role_only    |   48 |    1.000±0.000 |      17.0± 0.0 |    0.798±0.015 |    0.998±0.000
role_only    |   64 |    1.000±0.000 |      17.0± 0.0 |    0.814±0.014 |    0.999±0.000
role_only    |   96 |    1.000±0.000 |      17.0± 0.0 |    0.846±0.011 |    1.000±0.000
role_only    |  128 |    1.000±0.000 |      17.0± 0.0 |    0.868±0.010 |    1.000±0.000

full_ds      |    4 |    0.709±0.376 |       3.5± 3.2 |    0.636±0.077 |    0.853±0.082
full_ds      |    5 |    0.881±0.249 |       4.8± 4.2 |    0.649±0.107 |    0.912±0.035
full_ds      |    6 |    0.978±0.016 |      10.4± 4.7 |    0.662±0.067 |    0.915±0.029
full_ds      |    8 |    0.998±0.003 |      14.7± 3.7 |    0.711±0.056 |    0.928±0.018
full_ds      |   10 |    1.000±0.000 |      17.0± 0.0 |    0.702±0.045 |    0.945±0.012
full_ds      |   12 |    0.999±0.002 |      17.0± 0.0 |    0.755±0.039 |    0.955±0.011
full_ds      |   16 |    1.000±0.000 |      17.0± 0.0 |    0.735±0.040 |    0.976±0.006
full_ds      |   24 |    1.000±0.000 |      17.0± 0.0 |    0.759±0.015 |    0.993±0.002
full_ds      |   32 |    1.000±0.000 |      17.0± 0.0 |    0.784±0.019 |    0.995±0.001
full_ds      |   48 |    1.000±0.000 |      17.0± 0.0 |    0.798±0.015 |    0.998±0.000
full_ds      |   64 |    1.000±0.000 |      17.0± 0.0 |    0.814±0.014 |    0.999±0.000
full_ds      |   96 |    1.000±0.000 |      17.0± 0.0 |    0.846±0.011 |    1.000±0.000
full_ds      |  128 |    1.000±0.000 |      17.0± 0.0 |    0.868±0.010 |    1.000±0.000

